#t,ms p
0.003 4.270000000000000284e+01
0.005 4.270000000000000284e+01
0.008 4.270000000000000284e+01
0.01 4.270000000000000284e+01
0.0129324 4.270000000000000284e+01
0.0152784 4.270000000000000284e+01
0.0176291 4.270000000000000284e+01
0.0205694 4.270000000000000284e+01
0.0229245 4.270000000000000284e+01
0.0252824 4.270000000000000284e+01
0.0276402 4.270000000000000284e+01
0.0305804 4.270000000000000284e+01
0.0329326 4.270000000000000284e+01
0.0352671 4.270000000000000284e+01
0.0375956 4.270000000000000284e+01
0.040494 4.270000000000000284e+01
0.0427981 4.270000000000000284e+01
0.0451022 4.270000000000000284e+01
0.0479388 4.270000000000000284e+01
0.0502082 4.270000000000000284e+01
0.0530041 4.270000000000000284e+01
0.0552327 4.270000000000000284e+01
0.0579873 4.270000000000000284e+01
0.0601743 4.270000000000000284e+01
0.0628915 4.270000000000000284e+01
0.0650454 4.270000000000000284e+01
0.0677309 4.270000000000000284e+01
0.0703885 4.270000000000000284e+01
0.0725147 4.270000000000000284e+01
0.0751435 4.270000000000000284e+01
0.0777723 4.270000000000000284e+01
0.0803793 4.270000000000000284e+01
0.0829862 4.270000000000000284e+01
0.0850594 4.270000000000000284e+01
0.0876508 4.270000000000000284e+01
0.090234 4.270000000000000284e+01
0.0928152 4.270000000000000284e+01
0.0953792 4.270000000000000284e+01
0.0979388 4.270000000000000284e+01
0.100475 4.270000000000000284e+01
0.103006 4.270000000000000284e+01
0.105016 4.270000000000000284e+01
0.107524 4.270000000000000284e+01
0.11002 4.270000000000000284e+01
0.112509 4.270000000000000284e+01
0.115485 4.270000000000000284e+01
0.117961 4.270000000000000284e+01
0.120429 4.270000000000000284e+01
0.122896 4.270000000000000284e+01
0.125358 4.270000000000000284e+01
0.127819 4.270000000000000284e+01
0.130279 4.270000000000000284e+01
0.132739 4.270000000000000284e+01
0.135199 4.270000000000000284e+01
0.13766 4.270000000000000284e+01
0.140113 4.270000000000000284e+01
0.142564 4.270000000000000284e+01
0.145009 4.270000000000000284e+01
0.147941 4.270000000000000284e+01
0.150379 4.270000000000000284e+01
0.152817 4.270000000000000284e+01
0.155251 4.270000000000000284e+01
0.157686 4.270000000000000284e+01
0.160119 4.270000000000000284e+01
0.162553 4.270000000000000284e+01
0.165473 4.270000000000000284e+01
0.167908 4.270000000000000284e+01
0.170344 4.270000000000000284e+01
0.17278 4.270000000000000284e+01
0.175219 4.270000000000000284e+01
0.177658 4.270000000000000284e+01
0.180096 4.270000000000000284e+01
0.182534 4.270000000000000284e+01
0.185458 4.270000000000000284e+01
0.187895 4.270000000000000284e+01
0.190332 4.270000000000000284e+01
0.192769 4.270000000000000284e+01
0.195206 4.270000000000000284e+01
0.197644 4.270000000000000284e+01
0.200084 4.270000000000000284e+01
0.202524 4.270000000000000284e+01
0.205454 4.270000000000000284e+01
0.207897 4.270000000000000284e+01
0.210342 4.270000000000000284e+01
0.212788 4.270000000000000284e+01
0.215236 4.270000000000000284e+01
0.217684 4.270000000000000284e+01
0.220132 4.270000000000000284e+01
0.222581 4.270000000000000284e+01
0.225029 4.270000000000000284e+01
0.227969 4.270000000000000284e+01
0.23042 4.270000000000000284e+01
0.232872 4.270000000000000284e+01
0.235324 4.270000000000000284e+01
0.237778 4.270000000000000284e+01
