#t,ms massf-Ar+
0.003 0.000000000000000000e+00
0.005 0.000000000000000000e+00
0.008 0.000000000000000000e+00
0.01 0.000000000000000000e+00
0.0129324 0.000000000000000000e+00
0.0152784 0.000000000000000000e+00
0.0176291 0.000000000000000000e+00
0.0205694 0.000000000000000000e+00
0.0229245 0.000000000000000000e+00
0.0252824 0.000000000000000000e+00
0.0276402 0.000000000000000000e+00
0.0305804 0.000000000000000000e+00
0.0329326 0.000000000000000000e+00
0.0352671 0.000000000000000000e+00
0.0375956 0.000000000000000000e+00
0.040494 0.000000000000000000e+00
0.0427981 0.000000000000000000e+00
0.0451022 0.000000000000000000e+00
0.0479388 0.000000000000000000e+00
0.0502082 0.000000000000000000e+00
0.0530041 0.000000000000000000e+00
0.0552327 0.000000000000000000e+00
0.0579873 0.000000000000000000e+00
0.0601743 0.000000000000000000e+00
0.0628915 0.000000000000000000e+00
0.0650454 0.000000000000000000e+00
0.0677309 0.000000000000000000e+00
0.0703885 0.000000000000000000e+00
0.0725147 0.000000000000000000e+00
0.0751435 0.000000000000000000e+00
0.0777723 0.000000000000000000e+00
0.0803793 0.000000000000000000e+00
0.0829862 0.000000000000000000e+00
0.0850594 0.000000000000000000e+00
0.0876508 0.000000000000000000e+00
0.090234 0.000000000000000000e+00
0.0928152 0.000000000000000000e+00
0.0953792 0.000000000000000000e+00
0.0979388 0.000000000000000000e+00
0.100475 0.000000000000000000e+00
0.103006 0.000000000000000000e+00
0.105016 0.000000000000000000e+00
0.107524 0.000000000000000000e+00
0.11002 0.000000000000000000e+00
0.112509 0.000000000000000000e+00
0.115485 0.000000000000000000e+00
0.117961 0.000000000000000000e+00
0.120429 0.000000000000000000e+00
0.122896 0.000000000000000000e+00
0.125358 0.000000000000000000e+00
0.127819 0.000000000000000000e+00
0.130279 0.000000000000000000e+00
0.132739 0.000000000000000000e+00
0.135199 0.000000000000000000e+00
0.13766 0.000000000000000000e+00
0.140113 0.000000000000000000e+00
0.142564 0.000000000000000000e+00
0.145009 0.000000000000000000e+00
0.147941 0.000000000000000000e+00
0.150379 0.000000000000000000e+00
0.152817 0.000000000000000000e+00
0.155251 0.000000000000000000e+00
0.157686 0.000000000000000000e+00
0.160119 0.000000000000000000e+00
0.162553 0.000000000000000000e+00
0.165473 0.000000000000000000e+00
0.167908 0.000000000000000000e+00
0.170344 0.000000000000000000e+00
0.17278 0.000000000000000000e+00
0.175219 0.000000000000000000e+00
0.177658 0.000000000000000000e+00
0.180096 0.000000000000000000e+00
