# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-He 17:massf[1]-N2 18:massf[2]-O2 19:massf[3]-N 20:massf[4]-O 21:massf[5]-NO 22:dt_chem 23:u 24:T
-1.997250000000160730e+00 2.500000000000084793e-02 0.000000000000000000e+00 2.749999999999974687e-04 1.513585883883182548e-01 1.244500088851087094e+00 1.735478797550738155e-13 0.000000000000000000e+00 1.163028775549182610e+05 1.131660273755492199e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957602936095581390e+05 3.699040952525801345e+02
-1.991749999999943732e+00 2.499999999999916525e-02 0.000000000000000000e+00 2.749999999999974687e-04 1.513584265151556307e-01 3.734126973841846109e+00 1.716493232570514822e-13 0.000000000000000000e+00 1.163027856527573895e+05 1.131660431775699408e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957599717241913313e+05 3.699041985562435002e+02
-1.986249999999995852e+00 2.500000000000051487e-02 0.000000000000000000e+00 2.749999999999974687e-04 1.513582393864422726e-01 6.223306032397998067e+00 -2.929747785334961524e-13 0.000000000000000000e+00 1.163026326850461191e+05 1.131660387117089613e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957600626932773739e+05 3.699041693612542190e+02
-1.980749999999913191e+00 2.499999999999917219e-02 0.000000000000000000e+00 2.749999999999974687e-04 1.513579398103773177e-01 8.712782783717935686e+00 -1.482368340999025915e-13 0.000000000000000000e+00 1.163023650530925224e+05 1.131660204966520951e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957604337318965700e+05 3.699040502826860006e+02
-1.975250000000167150e+00 2.500000000000084793e-02 0.000000000000000000e+00 2.749999999999974687e-04 1.513576186513337085e-01 1.120211571752886037e+01 -1.652681591535126816e-13 0.000000000000000000e+00 1.163020336570379441e+05 1.131659793276699702e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957612723391214386e+05 3.699037811458833289e+02
-1.969749999999850676e+00 2.499999999999857545e-02 0.000000000000000000e+00 2.750000000000113465e-04 1.513572435738608779e-01 1.369152930657837608e+01 1.731812752092167205e-13 0.000000000000000000e+00 1.163016057398565754e+05 1.131659113558467425e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957626569163357490e+05 3.699033367892484421e+02
-1.964250000000101304e+00 2.500000000000109773e-02 0.000000000000000000e+00 2.749999999999835909e-04 1.513568343628065305e-01 1.618089771868497806e+01 1.214301679212135090e-13 0.000000000000000000e+00 1.163010992267144466e+05 1.131658179055049231e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957645604863072513e+05 3.699027258706675525e+02
-1.958749999999991109e+00 2.499999999999933525e-02 0.000000000000000000e+00 2.750000000000252243e-04 1.513563664645901363e-01 1.867028702534333817e+01 1.330366687436785379e-13 0.000000000000000000e+00 1.163005040914588899e+05 1.131657032774347499e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957668954414015752e+05 3.699019765063288787e+02
-1.953250000000168907e+00 2.500000000000135447e-02 0.000000000000000000e+00 2.749999999999697131e-04 1.513558379081729743e-01 2.115966448614415185e+01 1.038747345885386868e-13 0.000000000000000000e+00 1.162998256709021662e+05 1.131655708045873325e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957695938887517550e+05 3.699011104852996823e+02
-1.947749999999827120e+00 2.499999999999866218e-02 0.000000000000000000e+00 2.750000000000252243e-04 1.513552411929690589e-01 2.364905057465207605e+01 1.329228016321852761e-13 0.000000000000000000e+00 1.162990613012267422e+05 1.131654219945552313e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -3.957726251177595695e+05 3.699001376636270493e+02
