#t,ms p
0.792739 0.0427
0.795145 0.0427
0.797548 0.0427
0.800431 0.0427
0.802831 0.0427
0.805231 0.0427
0.807629 0.0426999
0.810027 0.0426993
0.812902 0.0426936
0.815296 0.0426692
0.817689 0.0423661
0.820081 0.041677
0.82295 0.00758244
0.825339 0.00762557
0.827728 0.00778154
0.830115 0.00777745
0.832501 0.00777542
0.835362 0.00777567
0.837745 0.0077758
0.840127 0.00777596
0.842508 0.00777666
0.845363 0.00778723
0.847741 0.00790618
0.850117 0.00921584
0.852968 0.0280904
0.855342 0.128364
0.857715 0.597958
0.860086 1.73449
0.86293 3.55801
0.865299 4.82087
0.867666 5.60045
0.870033 6.01103
0.872871 6.23778
0.875235 6.32161
0.877597 6.36374
0.880431 6.3905
0.882791 6.40272
0.88515 6.40732
0.887508 6.40533
0.890336 6.39836
0.892691 6.39285
0.895046 6.38987
0.897869 6.38976
0.900221 6.39148
0.902572 6.39367
0.905391 6.39573
0.907739 6.39654
0.910086 6.39657
0.912901 6.39602
0.915245 6.39544
0.917589 6.39498
0.920399 6.39465
0.922741 6.39449
0.92508 6.39437
0.927887 6.39417
0.930224 6.39397
0.932562 6.39378
0.935364 6.39363
0.937699 6.39363
0.940032 6.39378
0.94283 6.39415
0.945161 6.39461
0.947956 6.39531
0.950285 6.39602
0.952612 6.39683
0.955404 6.39792
0.957728 6.39894
0.960052 6.40003
0.962839 6.40143
0.965161 6.40264
0.967945 6.40413
0.970264 6.40539
0.972582 6.40665
0.975363 6.40818
0.977678 6.40948
0.980456 6.41107
0.98277 6.41245
0.985082 6.41388
0.987856 6.41569
0.990166 6.41726
0.992938 6.41924
0.995245 6.42094
0.997553 6.42268
1.00032 6.42481
1.00262 6.4266
1.00539 6.42874
1.00769 6.43053
1.01045 6.43267
1.01275 6.43441
1.01505 6.43609
1.01781 6.438
1.02011 6.43949
1.02286 6.4412
1.02516 6.44262
1.02791 6.44437
1.0302 6.44591
1.03295 6.44784
1.03524 6.44949
1.03753 6.45114
1.04027 6.45303
1.04256 6.4545
1.0453 6.45617
1.04759 6.45752
1.05033 6.45917
1.05261 6.46053
1.05535 6.46218
1.05763 6.46356
1.06036 6.46524
1.06264 6.4666
1.06537 6.4681
1.06765 6.46913
1.07038 6.4701
1.07265 6.47076
1.07538 6.47157
1.07765 6.47239
1.08038 6.47363
1.08264 6.47485
1.08537 6.4764
1.08763 6.47763
1.09035 6.47887
1.09262 6.47963
1.09533 6.48022
1.0976 6.48055
1.10031 6.48091
1.10257 6.48131
1.10528 6.48197
1.10754 6.48267
1.11025 6.48359
1.1125 6.48431
1.11521 6.485
1.11791 6.48539
1.12017 6.48547
1.12287 6.48531
1.12512 6.48503
1.12782 6.48458
1.13007 6.48416
1.13276 6.48355
1.13501 6.48292
1.1377 6.4819
1.14039 6.4805
1.14264 6.47902
1.14533 6.47694
1.14757 6.47503
1.15025 6.47272
1.15294 6.47062
1.15518 6.46916
1.15786 6.46791
1.1601 6.46729
1.16278 6.46709
1.16501 6.46724
1.16769 6.46752
1.17036 6.46765
1.17259 6.46727
1.17526 6.46593
1.17794 6.46349
1.18017 6.46103
1.18284 6.45814
1.18507 6.4563
1.18775 6.455
1.19043 6.45419
1.19267 6.45312
1.19535 6.45064
1.19758 6.44753
1.20027 6.4428
1.2025 6.43818
1.20519 6.43159
1.20788 6.42339
1.21012 6.41484
1.21281 6.40218
1.21505 6.38968
1.21774 6.37291
1.22043 6.35511
1.22268 6.34029
1.22537 6.32335
1.22762 6.3104
1.23032 6.29648
1.23257 6.2862
1.23527 6.27516
1.23752 6.26676
1.24022 6.25727
1.24292 6.24815
1.24517 6.24065
1.24788 6.23176
1.25013 6.22438
1.25284 6.2157
1.2551 6.20874
1.25781 6.20071
1.26007 6.19459
1.26278 6.18805
1.26504 6.18361
1.26776 6.17899
1.27002 6.17525
1.27274 6.1702
1.275 6.16492
1.27772 6.15685
1.28044 6.14637
1.28271 6.13606
1.28543 6.12242
1.2877 6.1108
1.29043 6.098
1.2927 6.08885
1.29543 6.07869
1.2977 6.06946
1.30043 6.05542
1.30271 6.0407
1.30544 6.01928
1.30772 5.99807
1.31045 5.96828
1.31273 5.93829
1.31501 5.90163
1.31775 5.84489
1.32003 5.78281
1.32277 5.6837
1.32506 5.57389
1.3278 5.39934
1.33008 5.20884
1.33283 4.91282
1.33512 4.59645
1.33786 4.1126
1.34015 3.6103
1.3429 2.88111
1.34519 2.20448
1.34794 1.4148
1.35024 0.874578
1.35253 0.512843
1.35528 0.278987
1.35758 0.182381
1.36033 0.124701
1.36263 0.100922
1.36539 0.0864488
1.36769 0.080364
1.37045 0.0766044
1.37275 0.0750038
1.37505 0.0741247
1.37781 0.0735701
1.38012 0.073326
1.38288 0.0731651
1.38518 0.0730885
1.38795 0.0730321
1.39026 0.0730004
1.39256 0.0729762
1.39533 0.0729542
1.39764 0.072938
1.40041 0.0729221
1.40272 0.0729105
1.40504 0.0728986
1.40781 0.0728914
1.41012 0.0728841
1.4129 0.0728843
1.41521 0.0728828
1.41753 0.0728755
1.42031 0.0729037
1.42262 0.170487
1.4254 0.277902
1.42772 0.337065
1.43004 0.37182
1.43283 0.396446
1.43515 0.408686
1.43793 0.417168
1.44025 0.421142
1.44258 0.423504
1.44536 0.425114
1.44769 0.42587
1.45001 0.426322
1.4528 0.426633
1.45513 0.426779
1.45792 0.42688
1.46025 0.426928
1.46258 0.426957
1.46538 0.426976
1.46771 0.426986
1.47004 0.426991
1.47284 0.426995
1.47517 0.426997
1.4775 0.426998
1.48031 0.426999
1.48264 0.426999
1.48545 0.427
1.48779 0.427
1.49013 0.427
1.49293 0.427
1.49528 0.427
1.49762 0.427
1.50043 0.427
1.50278 0.427
1.50513 0.427
1.50794 0.427
1.5103 0.427
1.51265 0.427
1.515 0.427
1.51783 0.427
1.52019 0.427
1.52255 0.427
1.52538 0.427
1.52775 0.427
1.53012 0.427
1.53297 0.427
1.53534 0.427
1.53772 0.427
1.5401 0.427
1.54297 0.427
1.54536 0.427
1.54775 0.427
1.55015 0.427
1.55255 0.427
1.55544 0.427
1.55785 0.427
1.56027 0.427
1.56269 0.427
1.56512 0.427
1.56755 0.427
1.57048 0.427
1.57293 0.427
1.57538 0.427
1.57784 0.427
1.58031 0.427
1.58278 0.427
1.58526 0.427
1.58775 0.427
1.59024 0.427
1.59274 0.427
1.59524 0.427
1.59776 0.427
1.60028 0.427
1.60281 0.427
1.60534 0.427
1.60789 0.427
1.61044 0.427
1.613 0.427
1.61505 0.427
1.61763 0.427
1.62021 0.427
1.62281 0.427
1.62541 0.427
1.6275 0.427
1.63012 0.427
1.63275 0.427
1.63539 0.427
1.6375 0.427
1.64016 0.427
1.64282 0.427
1.6455 0.427
1.64764 0.427
1.65034 0.427
1.65304 0.427
1.65521 0.427
1.65793 0.427
1.66011 0.427
1.66285 0.427
1.66505 0.427
1.6678 0.427
1.67001 0.427
1.67278 0.427
1.675 0.427
1.67779 0.427
1.68002 0.427
1.68282 0.427
1.68506 0.427
1.68788 0.427
1.69013 0.427
1.69296 0.427
1.69523 0.427
1.69807 0.427
1.70035 0.427
1.70263 0.427
1.7055 0.427
1.7078 0.427
1.7101 0.427
1.71299 0.427
1.7153 0.427
1.71763 0.427
1.72054 0.427
1.72287 0.427
1.72521 0.427
1.72756 0.427
1.7305 0.427
1.73285 0.427
1.7352 0.427
1.73755 0.427
1.74038 0.427
1.74265 0.427
1.74536 0.427
1.74803 0.427
1.7502 0.427
1.75291 0.427
1.75507 0.427
1.75774 0.427
1.76038 0.427
1.76298 0.427
1.76506 0.427
1.76768 0.427
1.77029 0.427
1.7729 0.427
1.77551 0.427
1.77758 0.427
1.78018 0.427
1.78281 0.427
1.78543 0.427
1.7875 0.427
1.7901 0.427
1.79275 0.427
1.79542 0.427
1.79754 0.427
1.80017 0.427
1.8028 0.427
1.80542 0.427
1.80752 0.427
1.81016 0.427
1.81279 0.427
1.81541 0.427
1.81751 0.427
1.82013 0.427
1.82276 0.427
1.82544 0.427
1.82759 0.427
1.83023 0.427
1.83288 0.427
1.83501 0.427
1.83768 0.427
1.84033 0.427
1.84297 0.427
1.84508 0.427
1.84771 0.427
1.85038 0.427
1.85253 0.427
1.85521 0.427
1.85789 0.427
1.86004 0.427
1.86273 0.427
1.86542 0.427
1.86754 0.427
1.8702 0.427
1.8729 0.427
1.87506 0.427
1.87775 0.427
1.88044 0.427
1.88259 0.427
1.88528 0.427
1.88798 0.427
1.89014 0.427
1.89283 0.427
1.89551 0.427
1.89765 0.427
1.90034 0.427
1.90302 0.427
1.90518 0.427
1.90787 0.427
1.91051 0.427
1.91263 0.427
1.91533 0.427
1.91803 0.427
1.92019 0.427
1.92288 0.427
1.92506 0.427
1.9278 0.427
1.93051 0.427
1.93263 0.427
1.9353 0.427
1.93798 0.427
1.94012 0.427
1.9428 0.427
1.94548 0.427
1.94764 0.427
1.95033 0.427
1.9525 0.427
1.95522 0.427
1.95793 0.427
1.96008 0.427
1.96278 0.427
1.96548 0.427
1.96763 0.427
1.9703 0.427
1.97298 0.427
1.97513 0.427
1.97782 0.427
1.9805 0.427
1.98264 0.427
1.98533 0.427
1.98801 0.427
1.99016 0.427
1.99285 0.427
1.995 0.427
1.9977 0.427
2.00039 0.427
2.00253 0.427
2.00521 0.427
2.00793 0.427
2.0101 0.427
2.0128 0.427
2.0155 0.427
2.01765 0.427
2.02033 0.427
2.02304 0.427
2.02521 0.427
2.02792 0.427
2.03009 0.427
2.03279 0.427
2.03549 0.427
2.03765 0.427
2.04033 0.427
2.04303 0.427
2.0452 0.427
2.04791 0.427
2.05008 0.427
2.0528 0.427
2.0555 0.427
2.05766 0.427
2.06037 0.427
2.06254 0.427
2.06525 0.427
2.06795 0.427
2.07011 0.427
2.07281 0.427
2.07552 0.427
2.07767 0.427
2.08036 0.427
2.08257 0.427
2.08533 0.427
2.08751 0.427
2.09022 0.427
2.09292 0.427
2.09508 0.427
2.09778 0.427
2.10048 0.427
2.10263 0.427
2.10533 0.427
2.10803 0.427
2.1102 0.427
2.11292 0.427
2.1151 0.427
2.11782 0.427
2.12053 0.427
2.12271 0.427
2.12542 0.427
2.12758 0.427
2.13028 0.427
2.13298 0.427
2.13514 0.427
2.13785 0.427
2.14002 0.427
2.14273 0.427
2.14543 0.427
2.1476 0.427
2.1503 0.427
2.153 0.427
2.15516 0.427
2.15786 0.427
2.16001 0.427
2.16271 0.427
2.16541 0.427
2.16758 0.427
2.17027 0.427
2.17297 0.427
2.17513 0.427
2.17784 0.427
2.1805 0.427
2.18263 0.427
2.18535 0.427
2.18754 0.427
2.19025 0.427
2.19296 0.427
