#t,ms massf-Ar+
3.28028 4.220158388965047024e-04
3.28251 4.300021834852760932e-04
3.2853 4.407268328179750187e-04
3.28753 4.494834288730217647e-04
3.29031 4.603343307016840961e-04
3.29255 4.688526931916930278e-04
3.29533 4.792351292185384861e-04
3.29756 4.873398837403912411e-04
3.30036 4.973180785576671644e-04
3.3026 5.051294332233648371e-04
3.3054 5.146431498122197709e-04
3.30763 5.219854285807109433e-04
3.31042 5.307737156337508349e-04
3.31266 5.374098816729278938e-04
3.31545 5.447564354399235661e-04
3.31769 5.499031733005333442e-04
3.32049 5.557190054778168593e-04
3.32273 5.600579016287047292e-04
3.32552 5.653075848445041247e-04
3.32775 5.694685131632947926e-04
3.33055 5.746828481023053686e-04
3.33278 5.789130178862091341e-04
3.33502 5.832585463822600926e-04
3.33781 5.888915814200708582e-04
3.34005 5.936462475555461318e-04
3.34284 5.999642324438625831e-04
3.34507 6.053317064027939750e-04
3.34786 6.124090591624818366e-04
3.3501 6.183522036337477405e-04
3.3529 6.261162221804464790e-04
3.35514 6.324203608721307547e-04
3.35794 6.401815580222789672e-04
3.36017 6.462678299109980620e-04
3.36297 6.537030165335356614e-04
3.3652 6.595194023306858149e-04
3.368 6.666275516320904152e-04
3.37024 6.721735885076219512e-04
3.37304 6.789886535299269506e-04
3.37527 6.842847738755558238e-04
3.37751 6.894025150968991454e-04
3.3803 6.957816552337671174e-04
3.38254 7.009244422271287359e-04
3.38534 7.074319330469641372e-04
3.38758 7.126838675742252225e-04
3.39038 7.192661787703733770e-04
3.39262 7.246222227161523395e-04
3.39541 7.315110293282743028e-04
3.39765 7.369793399965012416e-04
3.40045 7.436700550318319424e-04
3.40269 7.488622823624891713e-04
3.40548 7.551458820880888045e-04
3.40772 7.600284634543914494e-04
3.41052 7.659493242037326887e-04
3.41276 7.705402474349260693e-04
3.41501 7.749906490025147395e-04
3.41781 7.802177158674312388e-04
3.42005 7.841036935413064944e-04
3.42284 7.887453260111964301e-04
3.42508 7.923900180259648568e-04
3.42788 7.969170024146120896e-04
3.43011 8.004993169430947965e-04
3.43291 8.048829572616298094e-04
3.43515 8.084713349995355496e-04
3.43796 8.131436030838126022e-04
3.4402 8.169690650111631914e-04
3.443 8.216995274137927144e-04
3.44524 8.254196686888844083e-04
3.44804 8.299881422035597280e-04
3.45028 8.336214658199684203e-04
3.45252 8.372755576131774837e-04
3.45532 8.418668729237912271e-04
3.45756 8.455749729150994825e-04
3.46037 8.501441202885088059e-04
3.46261 8.536952321615003288e-04
3.46542 8.580169040806663074e-04
3.46767 8.615094692803772474e-04
3.47047 8.660077791924736907e-04
3.47271 8.697567480296330934e-04
3.47551 8.746000940637268682e-04
3.47775 8.785640805086390075e-04
3.48056 8.838039969375422389e-04
3.4828 8.882707129703887056e-04
3.48505 8.929224083178099970e-04
3.48785 8.988268793445819893e-04
3.4901 9.035873194769258919e-04
3.4929 9.095697254563619126e-04
3.49514 9.144264221451809836e-04
3.49795 9.206321516558568221e-04
3.50019 9.257064969899959136e-04
3.50299 9.321835987966835182e-04
3.50523 9.373655835303130535e-04
3.50805 9.438082315578080576e-04
3.5103 9.489341145303200340e-04
3.51255 9.541176272624222196e-04
3.51535 9.607355515900189904e-04
3.5176 9.662093371735306236e-04
3.5204 9.732869195110710903e-04
3.52264 9.790810850248035224e-04
3.52546 9.865041926463121238e-04
3.52771 9.926761844407344486e-04
3.53052 1.000691924237345461e-03
3.53277 1.007206799834998870e-03
3.53501 1.013723921696073425e-03
3.53782 1.021829657783757941e-03
3.54007 1.028299501200963207e-03
3.54287 1.036412020541209152e-03
3.54512 1.042953595365329195e-03
3.54792 1.051198255322611293e-03
3.55017 1.057773464321274054e-03
3.55298 1.065848235716627956e-03
3.55524 1.072177550211960524e-03
3.55805 1.079974192826118392e-03
3.56029 1.086227028406263175e-03
3.56253 1.092533124921206108e-03
3.56535 1.100546797877420156e-03
3.5676 1.107096617625771828e-03
3.57041 1.115403497724162286e-03
3.57266 1.122079484523311448e-03
3.57547 1.130588759919496115e-03
3.57771 1.137646432185238088e-03
3.58053 1.146708961342736074e-03
3.58279 1.153946690048825033e-03
3.58505 1.161109050590201312e-03
3.58785 1.169913993858067531e-03
3.5901 1.176908975701638788e-03
3.59291 1.185666756578075296e-03
3.59517 1.192709002808994920e-03
3.59798 1.201503065879762615e-03
3.60023 1.208407204409701072e-03
3.60304 1.216775993846729974e-03
3.60528 1.223270544299004349e-03
3.60753 1.229708235337423090e-03
3.61034 1.237782907634541732e-03
3.6126 1.244275387578106093e-03
3.6154 1.252442318141133541e-03
3.61765 1.259023441175389797e-03
3.62046 1.267298134274434272e-03
3.62271 1.273893728792362730e-03
3.62552 1.282110822269273438e-03
3.62777 1.288803620044781618e-03
3.63002 1.295673398805543934e-03
3.63283 1.304422413952734897e-03
3.63507 1.311331798300936205e-03
3.63789 1.319774686414669149e-03
3.64014 1.326335547849017121e-03
3.64296 1.334330894918663154e-03
3.6452 1.340625298688605553e-03
3.64802 1.348453681181088857e-03
3.65028 1.354626402723180592e-03
3.65254 1.360568349134322081e-03
3.65535 1.367599818963691942e-03
3.6576 1.372938330488503731e-03
3.66042 1.379441864383256292e-03
3.66267 1.384542303910187054e-03
3.66549 1.390804698799089382e-03
3.66774 1.395745438615999959e-03
